data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,passive_processed_packets_per_sec,passive_alerts_per_sec,passive_daq_drops_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,passive,2,512,35,9575.532,35.0612,57.0044,30.8979,10291.9875,277.9843,0.0,1.237,0.8616,50.0
train,passive,3,1024,99999,18952.6222,126.9017,53.1333,31.1404,18808.1556,302.0444,139.4,0.0018,0.0,50.0
train,passive,1,256,50,11201.0759,50.0994,87.3908,66.2842,11601.0705,302.3333,1629.126,0.0047,0.6667,50.0
train,passive,4,768,50,11186.4706,49.9844,29.8699,31.9,12553.1742,296.4358,14.5523,0.0703,0.6658,50.0
train,passive,1,384,75,13929.1883,75.0984,86.454,48.9062,13958.0837,286.5569,1384.7366,0.0092,0.3333,50.0
train,passive,1,640,50,11223.0882,49.9771,81.5485,30.2717,14312.5785,302.3333,547.1032,0.0045,0.6667,50.0
train,passive,3,1024,35,9556.4814,34.9897,42.7745,29.0482,12935.9093,302.3333,15.9664,0.882,0.8638,50.0
train,passive,1,640,100,16629.5517,99.9941,84.5487,31.4714,20786.3829,296.3127,379.2174,0.0136,0.0,50.0
train,passive,3,896,95,16092.1431,94.9041,48.592,31.7268,21589.4337,302.3333,0.0,0.0807,0.0665,50.0
train,passive,1,768,60,12299.9769,59.9859,80.9704,29.765,14743.9984,302.3333,533.2618,0.0064,0.5333,50.0
train,passive,1,256,40,10106.5012,40.0361,85.6739,66.1487,11252.1636,302.3333,1335.103,0.0029,0.8,50.0
train,passive,2,1024,65,12803.1316,64.9418,58.9602,29.903,12900.0278,302.3333,100.4354,0.0076,0.4667,50.0
train,passive,4,384,100,16629.7726,99.9667,32.5545,49.4025,19005.6101,296.8848,0.0,0.0141,0.0,50.0
train,passive,4,512,95,16090.2846,94.9952,30.3904,32.1703,20434.4075,287.0135,0.0,0.0202,0.0666,50.0
train,passive,1,640,75,13926.5374,74.9866,83.144,30.8817,18192.2304,302.3333,456.5832,0.0091,0.3333,50.0
train,passive,4,1024,35,9559.5571,35.0009,29.822,30.8381,9798.2968,302.3333,1.096,0.0806,0.866,50.0
train,passive,1,512,65,12846.9074,64.9704,82.1284,31.6152,16256.9263,300.7605,439.8967,0.0072,0.4667,50.0
train,passive,4,768,75,13910.3193,74.9771,31.1245,31.7248,16430.0708,302.3333,0.0,0.0422,0.3329,50.0
train,passive,1,768,55,11755.0099,54.9696,80.4301,29.5451,15643.3592,302.3333,535.8884,0.0055,0.6,50.0
train,passive,4,768,65,12816.0588,64.9705,31.2903,31.7912,15373.2582,302.3333,25.6251,0.0534,0.4661,50.0
train,passive,4,768,99999,18974.595,126.955,36.5007,31.6529,22632.915,302.3333,0.0,0.0016,0.0,50.0
train,passive,1,512,30,9075.4386,29.9934,80.1681,30.7863,9559.1572,276.5978,610.2964,0.0009,0.9333,50.0
train,passive,1,256,85,15018.5019,85.2079,90.3269,64.3262,13420.1883,302.3333,2681.453,0.0114,0.2,50.0
train,passive,3,256,100,16654.5695,100.1221,53.7463,65.3134,16029.3474,296.1967,0.0,0.0141,0.0033,50.0
train,passive,4,896,90,15545.4406,89.978,33.6477,31.5555,17026.6213,302.3333,19.2875,0.0249,0.1332,50.0
train,passive,1,512,60,12307.0682,59.9695,81.9724,31.4467,15732.7764,302.3333,465.8628,0.0063,0.5333,50.0
train,passive,2,256,99999,19136.1111,128.1969,72.6874,66.6311,24466.4186,291.3363,18.0983,0.0016,0.0,50.0
train,passive,3,256,80,14469.5665,80.0748,50.6601,66.0051,14748.6954,302.3333,37.044,11.2911,0.2662,50.0
train,passive,3,512,75,13915.9942,75.026,45.6439,34.833,16541.1875,287.136,0.0,0.3413,0.3328,50.0
train,passive,3,640,80,14455.4913,79.9769,47.2723,33.5476,19577.0566,302.3333,21.6619,0.2773,0.2661,50.0
train,passive,3,256,55,11757.0453,55.0736,43.9576,67.5547,9568.9899,271.4076,0.0,25.3874,0.5947,50.0
train,passive,3,896,90,15547.9122,89.9167,47.8274,31.679,20266.6997,292.0865,0.0,0.1471,0.1329,50.0
train,passive,3,256,25,8487.2006,25.0077,37.48,68.2152,8482.9333,289.4009,9.7529,42.303,0.989,50.0
train,passive,4,1024,100,16639.0889,99.9742,34.4833,31.3727,16632.9778,301.0222,0.0,0.0142,0.0,50.0
train,passive,2,640,50,11200.9651,50.0218,58.5984,30.5595,12856.8793,302.3333,10.6337,0.7173,0.6637,50.0
train,passive,1,256,50,11202.3377,50.0977,86.7089,66.2096,10788.3606,295.6749,1623.6686,0.0047,0.6667,50.0
train,passive,2,768,35,9559.1882,35.0132,54.7138,29.8742,8648.3179,271.2086,0.0,0.6195,0.8641,50.0
train,passive,1,640,25,8519.6476,24.9537,78.4983,29.4361,13278.0344,302.3333,582.6028,0.0,1.0,50.0
train,passive,1,896,25,8494.3594,24.9375,74.6389,28.4802,11639.6833,302.3333,499.1523,0.0,1.0,50.0
train,passive,4,896,85,15004.9937,84.9852,32.9377,31.4359,16411.8526,302.3333,3.2935,0.0302,0.1998,50.0
train,passive,2,640,75,13926.7398,74.9889,60.6922,30.4394,14464.8776,300.6634,29.4605,0.3657,0.3319,50.0
train,passive,1,768,90,15549.9041,90.0186,84.3174,30.4922,17273.6453,291.1171,512.4098,0.0119,0.1333,50.0
train,passive,3,256,70,13384.4482,70.0639,48.144,66.3158,13669.0918,302.3333,24.9568,16.9296,0.3976,50.0
train,passive,3,768,30,9013.3245,30.0255,41.5262,31.4704,11034.6475,302.3333,0.0,0.9395,0.931,50.0
train,passive,3,1024,90,15547.5963,89.8952,48.0129,30.8771,19353.7035,285.4342,0.0,0.1478,0.1329,50.0
train,passive,4,384,25,8523.4413,25.0026,29.5882,50.3222,11544.959,302.3333,0.0,0.0529,0.9991,50.0
train,passive,2,640,85,15015.4123,84.9667,61.4502,30.2951,16888.3992,302.3333,25.2185,0.2251,0.1991,50.0
train,passive,4,640,70,13366.0932,69.9863,29.9767,32.1604,15714.6878,289.0871,3.0053,0.0493,0.3994,50.0
train,passive,2,512,70,13391.2735,70.0138,60.3959,30.6813,14726.7388,292.1834,0.0,0.5785,0.3976,50.0
train,passive,3,512,50,11188.6123,50.016,42.8078,33.981,13443.128,302.3333,0.0,0.6685,0.6655,50.0
train,passive,4,640,40,10096.3094,39.9757,28.8305,32.1464,14647.0243,302.3333,0.0,0.0845,0.7988,50.0
train,passive,2,1024,90,15525.2406,89.9246,62.2949,30.6548,14869.0467,298.4863,163.3556,0.0124,0.1333,50.0
train,passive,4,1024,30,9010.5677,29.9821,28.5576,30.6056,9120.2108,302.3333,0.0,0.0857,0.9326,50.0
train,passive,2,512,80,14481.2261,79.9938,61.6071,30.4325,15486.5709,302.3333,10.7064,0.3904,0.2651,50.0
train,passive,3,1024,40,10103.0594,39.9822,42.6749,29.1647,13304.6929,301.6445,0.0,0.8153,0.7974,50.0
train,passive,3,640,99999,18972.8864,126.9919,49.5227,33.0239,17454.5444,283.3365,0.0,0.0016,0.0,50.0
train,passive,4,512,100,16630.677,99.9783,31.1223,31.8565,23499.7194,302.3333,0.0,0.0141,0.0,50.0
train,passive,1,384,25,8500.0784,24.9849,83.1292,48.7251,10550.0396,302.3333,785.7624,0.0,1.0,50.0
train,passive,3,896,70,13368.0145,69.9389,45.6213,31.0696,17745.976,302.3333,0.0,0.4128,0.3988,50.0
train,passive,4,256,35,9659.9887,35.0285,30.949,67.817,8482.9333,282.9696,0.0,0.0019,0.8667,50.0
train,passive,4,896,50,11188.0536,49.9942,30.8194,31.6368,11688.1238,296.5741,16.9692,0.0677,0.666,50.0
train,passive,2,512,99999,18971.3813,126.94,65.9754,30.4923,19208.2254,302.3333,4.3582,0.0014,0.0,50.0
train,passive,4,256,45,10725.4837,45.0038,33.029,67.6075,11020.2059,302.3333,30.145,0.0038,0.7333,50.0
train,passive,4,384,80,14466.8528,79.9742,31.9842,49.6594,17099.053,302.3333,1.5621,0.0245,0.2664,50.0
train,passive,1,1024,45,10655.9317,44.9696,76.1855,28.4293,12027.8109,301.3637,524.5802,0.0037,0.7333,50.0
train,passive,2,512,95,16114.2145,94.9676,62.6998,30.3921,17591.1335,302.3333,5.1763,0.1082,0.0663,50.0
train,passive,3,384,85,15013.493,85.0419,47.2727,50.0882,15770.5322,283.3485,0.0,4.3412,0.2,50.0
train,passive,2,896,99999,18953.2553,126.7653,58.3183,28.8643,14347.1317,230.8238,9.9077,0.0016,0.0,50.0
train,passive,3,512,99999,18970.2511,126.9826,49.6316,32.9925,19143.6516,302.3333,7.7303,0.0016,0.0,50.0
train,passive,3,1024,90,15544.3895,89.8643,48.1418,30.1553,22067.8186,302.3333,1.0583,0.1478,0.1329,50.0
train,passive,1,1024,65,12831.9694,65.0012,79.809,28.2744,12743.9584,290.7843,614.0318,0.0074,0.4667,50.0
train,passive,4,384,99999,18994.8326,127.2038,38.4158,49.9577,22442.4737,302.3333,12.8832,0.0016,0.0,50.0
train,passive,1,640,30,9063.6887,29.9727,77.4775,29.9548,9088.9144,270.8878,568.3261,0.0009,0.9333,50.0
train,passive,3,896,65,12825.361,64.9582,45.4714,31.1286,17429.3162,302.3333,0.0,0.4792,0.4653,50.0
train,passive,1,1024,30,9016.9447,29.9148,73.5009,28.0122,11596.913,302.3333,490.0657,0.0009,0.9333,50.0
train,passive,3,512,35,9555.0313,35.0092,41.0638,33.0446,11900.3639,302.3333,0.0,0.8647,0.8652,50.0
train,passive,2,256,30,9132.5041,29.9582,58.1824,66.0336,9431.5032,302.3333,9.0584,7.8181,0.931,50.0
train,passive,4,1024,40,10103.6021,39.989,30.064,30.6042,11935.0532,302.3333,0.0,0.0755,0.7994,50.0
train,passive,2,256,45,10736.2583,44.9524,60.5007,65.699,10997.8105,302.3333,13.4135,6.1457,0.7315,50.0
train,passive,4,640,65,12822.0074,64.9867,30.2633,32.102,17140.8524,302.3333,0.0,0.0552,0.466,50.0
train,passive,3,1024,75,13915.4754,74.9041,45.627,29.8178,17591.1256,290.5182,0.0,0.348,0.3322,50.0
train,passive,4,384,35,9604.7378,35.0124,30.2473,50.6457,11500.7636,302.3333,0.0,0.0477,0.8659,50.0
train,passive,2,512,75,13932.4213,74.995,61.2149,30.5855,15027.6687,302.3333,16.9935,0.4845,0.3314,50.0
train,passive,4,640,100,16636.9159,100.0085,32.1405,32.3025,19409.1357,282.2558,0.0,0.0141,0.0,50.0
